2025-12-16 22:08:04,603	WARNING deprecation.py:50 -- DeprecationWarning: `remote_workers()` has been deprecated. Use `Use either the `foreach_worker()`, `foreach_worker_with_id()`, or `foreach_worker_async()` APIs of `WorkerSet`, which all handle fault tolerance.` instead. This will raise an error in the future!
[NONE] Epoch  41 | Reward=88.73 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9215.3/s | Compile=None | Swap=None | Infer=0.031s | Env=0.176s
[NONE] Epoch  42 | Reward=98.15 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9742.5/s | Compile=None | Swap=None | Infer=0.027s | Env=0.169s
[NONE] Epoch  43 | Reward=103.86 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9672.5/s | Compile=None | Swap=None | Infer=0.027s | Env=0.170s
[NONE] Epoch  44 | Reward=100.17 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9628.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.170s
[NONE] Epoch  45 | Reward=126.27 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9868.2/s | Compile=None | Swap=None | Infer=0.027s | Env=0.167s
[NONE] Epoch  46 | Reward=109.85 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9795.5/s | Compile=None | Swap=None | Infer=0.027s | Env=0.168s
[NONE] Epoch  47 | Reward=94.68 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9797.6/s | Compile=None | Swap=None | Infer=0.027s | Env=0.168s
[NONE] Epoch  48 | Reward=103.05 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9688.8/s | Compile=None | Swap=None | Infer=0.027s | Env=0.169s
[NONE] Epoch  49 | Reward=127.18 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9914.3/s | Compile=None | Swap=None | Infer=0.027s | Env=0.166s
[NONE] Epoch  50 | Reward=121.75 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9787.7/s | Compile=None | Swap=None | Infer=0.027s | Env=0.168s
[NONE] Epoch  51 | Reward=147.38 | Samples=2000 | Total=0.20s (Rollout=0.19s, Train=0.01s) | Thrpt=9908.2/s | Compile=None | Swap=None | Infer=0.027s | Env=0.165s
[NONE] Epoch  52 | Reward=116.95 | Samples=2000 | Total=0.32s (Rollout=0.30s, Train=0.01s) | Thrpt=6342.8/s | Compile=None | Swap=None | Infer=0.041s | Env=0.262s
[NONE] Epoch  53 | Reward=136.36 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.02s) | Thrpt=9372.9/s | Compile=None | Swap=None | Infer=0.028s | Env=0.170s
[NONE] Epoch  54 | Reward=132.23 | Samples=2000 | Total=0.23s (Rollout=0.21s, Train=0.01s) | Thrpt=8867.1/s | Compile=None | Swap=None | Infer=0.030s | Env=0.185s
[NONE] Epoch  55 | Reward=131.75 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9467.7/s | Compile=None | Swap=None | Infer=0.027s | Env=0.173s
[NONE] Epoch  56 | Reward=176.08 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9031.7/s | Compile=None | Swap=None | Infer=0.029s | Env=0.181s
[NONE] Epoch  57 | Reward=131.47 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9566.0/s | Compile=None | Swap=None | Infer=0.027s | Env=0.169s
[NONE] Epoch  58 | Reward=141.00 | Samples=2000 | Total=0.23s (Rollout=0.22s, Train=0.01s) | Thrpt=8766.1/s | Compile=None | Swap=None | Infer=0.030s | Env=0.187s
[NONE] Epoch  59 | Reward=175.00 | Samples=2000 | Total=0.38s (Rollout=0.37s, Train=0.02s) | Thrpt=5206.3/s | Compile=None | Swap=None | Infer=0.047s | Env=0.321s
[NONE] Epoch  60 | Reward=176.73 | Samples=2000 | Total=0.23s (Rollout=0.22s, Train=0.01s) | Thrpt=8652.3/s | Compile=None | Swap=None | Infer=0.031s | Env=0.189s
[NONE] Epoch  61 | Reward=162.00 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9503.6/s | Compile=None | Swap=None | Infer=0.028s | Env=0.171s
[NONE] Epoch  62 | Reward=185.58 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9534.5/s | Compile=None | Swap=None | Infer=0.028s | Env=0.172s
[NONE] Epoch  63 | Reward=153.29 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9605.8/s | Compile=None | Swap=None | Infer=0.027s | Env=0.169s
[NONE] Epoch  64 | Reward=165.60 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9640.0/s | Compile=None | Swap=None | Infer=0.028s | Env=0.169s
[NONE] Epoch  65 | Reward=164.70 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9507.6/s | Compile=None | Swap=None | Infer=0.028s | Env=0.172s
[NONE] Epoch  66 | Reward=186.15 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9238.6/s | Compile=None | Swap=None | Infer=0.029s | Env=0.176s
